TITLE;AUTHORS
Winner-Take-All Network Utilising Pseudoinverse Reconstruction Subnets Demonstrates Robustness on the Handprinted Character Recognition Problem;J. K�rmendy-r�cz S. Szab� J. L�rincz G. Antal G. Kov�cs A. L�rincz
DEEM: a Tool for the Dependability Modeling and Evaluation;A. Bondavalli I. Mura S. Chiaradonna S. Poli F. Sandrini
Dynamical networks in function dynamics;Naoto Kataoka Kunihiko Kaneko
Simulation  Prototyping;Ingolf St�hl
Hedging beyond duration and convexity;Jian Chen Michael C. Fu
Designing for social friction: Exploring ubiquitous computing as means of cultural interventions in urban space;Rune Huvendick Jensen Tau Ulv Lenskjold
Optimal Combination of Number of Taps and Coefficient Bit-Width for Low Power FIR Filter Realization;Jo�o Portela Eduardo Costa Jos� Monteiro
The Influence of a Course on Direct and Activating Instruction upon Student Teachers Classroom Practice;Simon Veenman Eddie Denessen Ingrid Van Den Oord Ferdy Naafs
Multiplanar Applications and Multimodal Networks;S. Keshav
Free-Riding and Whitewashing in Peer-to-Peer Systems;Michal Feldman Christos Papadimitriou John Chuang  Ion Stoica
A Simple Algorithm for Complete Motion Planning of Translating Polyhedral Robots;Gokul Varadhan Shankar Krishnan T. V. N. Sriram Dinesh Manocha
 Modeling Ship Arrivals in Ports;Eelco van Asperen Rommert Dekker Mark Polman Henk de Swaan Arons
Cognitive Tools for . . .;Donald Sofge Dennis Perzanowski Marjorie Skubic Magdalena Bugajska J. Gregory Trafton Nicholas Cassimatis Derek Brock William Adams Alan Schultz
Exploiting Computer Automation to Improve the Interview Process and Increase Survey Cooperation;Jeffrey C. Moore Jeffrey C. Moore
Performance and Design Evaluation Of The Raid-II Storage Server;Peter M. Chen Edward K. Lee Ann L. Drapeau  Ken Lutz Ethan L. Miller Srinivasan Seshan Ken Shirriff David A. Patterson Randy H. Katz
The Marinov Motor Notional Induction;Without Magnetic Field J. P Wesley
Biometric Verification Based on Grip-Pattern Recognition;Raymond Veldhuis Asker Bazen Joost Kauffman Pieter Hartel
Relativistic Doppler Effect and the Principle of Relativity;W. Engelhardt
Differential Association Rule Mining for the Study of Protein-Protein Interaction Networks;Christopher Besemann  Anne Denton  Ajay Yekkirala  Ron Hutchison  Marc Anderson
Combining Adaptive and Deterministic Routing: Evaluation of a Hybrid Router;Dianne Kumar Walid A. Najjar
Towards a More Complete Model of Role; Adrian Baldwin Cheh Goh Cheh Goh
Target Tracking with Distributed Sensors: The Focus of Attention Problem;Volkan Isler   Sanjeev Khanna  J. Spletzer Camillo J. Taylor 
Creating an Integrated Computer Assisted Learning and Assessment Experience in the School of European Languages and Cultures at the University of Edinburgh;John Hobbs John Hobbs  Marcus Duran Marcus Duran Eh Jx
Web Structure Analysis for Information Mining;Lakshmi Vijjappu Ah-Hwee Ah-hwee Tan Chew-lim Tan
Bayesian Inference for Transductive Learning of Kernel Matrix Using the Tanner-Wong Data Augmentation Algorithm;Zhihua Zhang  Dit-Yan Yeung James T. Kwok
Genetic Improvisation Model - a framework for real-time performance environments;Paul Nemirovsky Richard Watson
Mean-Variance Hedging under Additional Market Information ;Frank Thierbach
Sis-Prueba;Tool For Rapid Pedro Concejero Cerezo Juan Jos� Rodr�guez Soler Daniel Tapias Merino Telef�nica M�viles Espa�a
Reducing the Computational Load of Energy Evaluations for Protein Folding;Eunice E. Santos Eugene Santos Jr.
Human-Robot Interactions in Active Sensor Networks;Alexei Makarenko  Tobias Kaupp  Ben Grocholsky Hugh Durrant-whyte
Disjoint Sum of Product Minimization by Evolutionary Algorithms;Nicole Drechsler  Mario Hilgemeier G�rschwin Fey  Rolf Drechsler
Peer-to-Peer Human-Robot Interaction for Space Exploration;Terrence Fong And Terrence Fong Illah Nourbakhsh
Survey  Taxonomy of Packet Classification Techniques;David E. Taylor
Friscof Risco;Framework Of Information Eckhard D. Falkenberg Wolfgang Hesse Paul Lindgreen Bj�rn E. Nilsson J. L. Han Oei Colette Rolland Ronald K. Stamper Frans J. M. Van Assche Alexander A. Verrijn-stuart Klaus Voss
 Average performance of quasi Monte Carlo methods for global optimization;Hisham A. Al-Mharmah
The Virtual Ms Lyceum: A Consortium For Modeling And Simulation Technology;D. J. Medeiros E. F. Watson J. S. Carson M. S. Manivannan Steven D. Farr Alex F. Sisti
Classification And Regression Trees Cart - A User Manual For Identifying Indicators Of Vulnerability To Famine And Chronic Food Insecurity;Auser Manualfor Yisehac Yohannes Patrick Webb
An Approach for Locating Segmentation Points of Handwritten Digit Strings;Using Neural Network
An Overview of JML Tools and Applications;Lilian Burdy Yoonsik Cheon David Cok Michael D. Ernst Joe Kiniry Gary T. Leavens K. Rustan M. Leino Erik Poll 
Triage: Performance Isolation and Differentiation for Storage Systems;Magnus Karlsson  Christos Karamanolis Xiaoyun Zhu
On-line Handwritten Japanese Text Recognition free from Constrains on Line;Direction And Character Masaki Nakagawa Motoki Onuma
Data Transformation for Warehousing Web Data;Yan Zhu Christof Bornh�vd Alejandro P. Buchmann
Discriminant Projections Embedding for Nearest Neighbor Classification.;Petia Radeva And Petia Radeva Jordi Vitri�
Vowel - Zero Alternations in Czech Prefixes;Tobias Scheer Tobias Scheer Clite E -e
Automatic Construction of Navigable Concept Networks Characterizing Text Databases;Claudio Carpineto Giovanni Romano Fondazione Ugo Bordoni
�Sleep: A Technique for Reducing Energy Consumption in Handheld Devices;Lawrence S. Brakmo Deborah A. Wallach Marc A. Viredaz
Answers to the Top Ten Input Modeling Questions;Bahar Biller Barry L. Nelson
A Simulation Study of an Automotive Foundry . . . ;Sang D. Choi Anil R. Kumar Abdolazim Houshyar
A Sub-Quadratic Algorithm for Conjunctive and Disjunctive BESs;Jan Friso Groote Misa Kein�nen
Innovations of the NetSolve Grid Computing System;Dorian C. Arnold  Henri Casanova Jack Dongarra
The InfoVis Toolkist;Jean-Daniel Fekete
Complex Systems Modeling;Christophe Lecerf  et al.
Automobile Manufacturing Supply Chain Simulation . . . ;Gary Tan Na Zhao Simon J. E. Taylor
Multi-dimensional Visual Representations for Underwater Environmental Uncertainty;Greg S. Schmidt Sue-Ling Chen Greg S. Schmidt Sue-ling Chen Aaron N. Bryden  Mark A. Livingston Bryan R. Osborn  Lawrence J. Rosenblum
InstantGrid: A Framework for On-Demand Grid;Point Construction Roy Roy S. C. Ho K. K. Yin David C. M. Lee Daniel H. F. Hung Cho-li Wang Francis C. M. Lau
Prototyping Proof Carrying Code;Martin Wildmoser Tobias Nipkow Gerwin Klein Sebastian Nanz
Proceedings of the Block Island Workshop on Cooperative Control;Springer-Verlag Series Lecture Wei Ren Al W. Beard Timothy W. Mclain
Hidden-Action in Multi-Hop Routing;Michal Feldman  John Chuang
EPTD DISCUSSION PAPER NO. 83 HOW AGRICULTURAL RESEARCH AFFECTS URBAN POVERTY IN DEVELOPING COUNTRIES: THE CASE OF CHINA;Shenggen Fan Cheng Fang Xiaobo Zhang
Ontology-Based Query Refinement;For Multimedia Meta Sonja Zillner Werner Winiwarter
Computerising Natural History Card Archives;Downton Lucas And A. C. Downton S. M. Lucas G. Patoulas
Genome-Wide Detection of Alternative Splicing in Expressed Sequences Using Partial Order Multiple Sequence Alignment Graphs;C. Grasso B. Modrek  Y. Xing C. Lee
Adaptive Sampling for Environmental Robotics;Mohammad Rahimi Richard Pon  William J. Kaiser Gaurav S. Sukhatme Deborah Estrin  Mani Srivastava
Enhanced Expressiveness in Scripting Using AnimalScript V2;Guido R��ling  Felix Gliesche Thomas Jajeh Thomas Widjaja
Comparison of Clustering Algorithms in Speaker Identification;Tomi Kinnunen  Teemu Kilpelinen  Pasi Fr�nti
Towards a Generic Talking Head;Brar Bailly Chabanas
Object-Relational Management of Multiply Represented Geographic Entities;Anders Friis-Christensen Christian S. Jensen
Word Searching in CCITT Group 4 Compressed Document Images;Yue Lu Chew Lim Tan
Visualizing Multimedia Content on Paper Documents: Components of Key Frame Selection for Video Paper;Jonathan J. Hull Berna Erol  Jamey Graham Dar-shyang Lee
Automatic Topic Identification;Using Ontology Hierarchy Sabrina Tiun Rosni Abdullah Tang Enya Kong
Module CAFCR course info logo TBD;Gerrit Muller
Partition Sampling for Active Video Database Annotation;Fabrice Souvannavong  Bernard Merialdo  Beno�t Huet
Self-organized instability in . . . ;Ricard V. Sol� David Alonso Alan McKane
Learnability and the Statistical Structure of Language: Poverty of Stimulus Arguments Revisited;John D. Lewis Jeffrey L. Elman
Discrete Event Simulation Experiments And Geographic Information Systems In Congestion Management Planning;Roy Brooks Wiley  Thomas Keyser White Dove Court
