TITLE,AUTHORS,YEAR,DESCRIPTION,ID,SUBJECT,PUBLISHER
Winner-Take-All Network Utilising Pseudoinverse Reconstruction Subnets Demonstrates Robustness on the Handprinted Character Recognition Problem,J. Körmendy-rácz S. Szabó J. Lörincz G. Antal G. Kovács A. Lörincz,1999,Wittmeyer’s pseudoinverse iterative algorithm is formulated as a dynamic connectionist Data Compression and Reconstruction (DCR) network and subnets of this type are supplemented by the winner-take-all paradigm. The winner is selected upon the goodness-of-fit of the input reconstruction. The network can be characterised as a competitive-cooperative-competitive architecture by virtue of the contrast enhancing properties of the pseudoinverse subnets. The network is capable of fast learning. The adopted learning method gives rise to increased sampling in the vicinity of dubious boundary regions that resembles the phenomenon of categorical perception. The generalising abilities of the scheme allow one to utilise single bit connection strengths. The network is robust against input noise and contrast levels shows little sensitivity to imprecise connection strengths and is promising for mixed VLSI implementation with on-chip learning properties. The features of the DCR network are demonstrated on the NIST database of handprinted characters.,10.1.1.1.1484,Correspondence and offprint requests to J. Kormendy-Rácz,Springer
DEEM: a Tool for the Dependability Modeling and Evaluation,A. Bondavalli I. Mura S. Chiaradonna S. Poli F. Sandrini,2000,Multiple-Phased Systems whose operational life can be partitioned in a set of disjoint periods called Â¿phasesÂ¿ include several classes of systems such as Phased Mission Systems and Scheduled Maintenance Systems. Because of their deployment in critical applications the dependability modeling and analysis of Multiple-Phased Systems is a task of primary relevance. However the phased behavior makes the analysis of Multiple-Phased Systems extremely complex. This paper is centered on the description and application of DEEM a dependability modeling and evaluation tool for Multiple Phased Systems. DEEM supports a powerful and efficient methodology for the analytical dependability modeling and evaluation of Multiple Phased Systems based on Deterministic and Stochastic Petri Nets and on Markov Regenerative Processes.,10.1.1.1.1485,Processes,IEEE Computer Society
Dynamical networks in function dynamics,Naoto Kataoka Kunihiko Kaneko,2003,As a first step toward realizing a dynamical system that evolves while spontaneously determining its own rule for time evolution function dynamics (FD) is analyzed. FD consists of a functional equation with a self-referential term given as a dynamical system of a one-dimensional map. Through the time evolution of this system a dynamical graph (a network) emerges. This graph has three interesting properties: (i) vertices appear as stable elements (ii) the terminals of directed edges change in time and (iii) some vertices determine the dynamics of edges and edges determine the stability of the vertices complementarily. Two aspects of FD are studied the generation of a graph (network) structure and the dynamics of this graph (network) in the system.,10.1.1.1.1486,Function dynamics Iterated map Self-reference Dynamical network,?
Simulation  Prototyping,Ingolf Ståhl,2002,A simulation model is successful if it leads to policy action i.e. if it is implemented. Studies show that for a model to be implemented it must have good correspondence with the mental model of the system held by the user of the model. The user must feel confident that the simulation model corresponds to this mental model. An understanding of how the model works is required. Simulation models for implementation must be developed step by step starting with a simple model the simulation prototype. After this has been explained to the user a more detailed model can be developed on the basis of feedback from the user. Software for simulation prototyping is discussed e.g. with regard to the ease with which models and output can be explained and the speed with which small models can be written.,10.1.1.1.1487,?,?
Hedging beyond duration and convexity,Jian Chen Michael C. Fu,2002,Hedging of fixed income securities remains one of the most challenging problems faced by financial institutions. The predominantly used measures of duration and convexity do not completely capture the interest rate risks borne by the holder of these securities. Using historical data for the entire yield curve we perform a principal components analysis and find that the first four factors capture over 99.99% of the yield curve variation. Incorporating these factors into the pricing of arbitrary fixed income securities via Monte Carlo simulation we derive perturbation analysis (PA) estimators for the price sensitivities with respect to the factors. Computational results for mortgage-backed securities (MBS) indicate that using these sensitivity measures in hedging provides far more protection against interest risk exposure than the conventional measures of duration and convexity.,10.1.1.1.1488,?,?
Designing for social friction: Exploring ubiquitous computing as means of cultural interventions in urban space,Rune Huvendick Jensen Tau Ulv Lenskjold,2004,As ubiquitous computing emerges in our lives and cities new opportunities for artistic and otherwise cultural interventions in urban space follow but so far not much work has been done in order to articulate the socio-cultural significance of these new opportunities. This paper is part of a general attempt to develop a coherent understanding of the implications and potentials of ubiquitous computing in the context of everyday city life. On a more specific level the paper examines how the notion of social friction can be helpful in the development and analysis of ubiquitous computing in relation to art and design. Social friction is articulated as a critical position which could be applied as a strategy for design. Our approach consists of a theoretical analysis and precedes concrete development and real-life experiments. As such the paper aims to establish a steppingstone from which to launch actual digital designs. We argue that by designing for the social friction which is an intrinsic characteristic of everyday life new forms of social and cultural potentials can be released. By means of discussing CityNova a vision for a possible use of ubiquitous computing in urban space we explore how this approach might lead to systems that create new ways of experiencing the city.,10.1.1.1.1489,everyday life urban space Situationism,?
Optimal Combination of Number of Taps and Coefficient Bit-Width for Low Power FIR Filter Realization,João Portela Eduardo Costa José Monteiro,2003,This paper addresses the optimization of FIR filters for low power. We propose a search algorithm to find the combination of the number of taps and coe#cient bit-width that leads to the minimum number of total partial sums and hence to the least power consumption. We show that the minimum number of taps does not necessarily lead to the least power consumption in fully parallel FIR filter architectures. This is particularly true if the reduction of the bit-width of the coe#cients is taken into account. We show that power is directly related to the total number of partial sums in the FIR filter which in turn is determined by the number of bits set to 1 in the coe#cients. We have developed a search algorithm that achieves up to 36% less power consumption when compared to an implementation using the minimum number of taps.,10.1.1.1.1490,?,?
The Influence of a Course on Direct and Activating Instruction upon Student Teachers Classroom Practice,Simon Veenman Eddie Denessen Ingrid Van Den Oord Ferdy Naafs,2003,Educational research has highlighted the importance of maintaining an orderly classroom environment and providing both clear and well-organized instruction tailored to the needs of individual students. Time spent on direct instruction and particularly the direct instruction of basic skills is associated with school learning (Wang Haertel  Walberg 1993). With the increased interest in constructivistic conceptions of learning and teaching today educators with constructivistic orientations contend that various forms of knowledge and skills are applied more generally when constructed by the learners themselves as opposed to explicitly taught: knowledge is made not acquired (Phillips 2000 p. 7). Such a view nevertheless often leads to an inclination to reject direct instruction by the teacher (see for example Brooks  Brooks 1993). It should be noted however that many of the discussions of constructivistic orientations to learning and instruction are at the level of slogan and clichÃ© (Duffy  Cunningham 1996 Finn  Ravitch 1996 Kozloff 1998). In addition the term constructivism has come to serve as an umbrella term for a diversity of views (Phillips 1995 2000).,10.1.1.1.1491,?,?
Multiplanar Applications and Multimodal Networks,S. Keshav,1999,We believe that a broad class of future applications will span both the Internet and the telephone network because such multiplanar applications have several economic and architectural advantages over conventional ones. We also envision the close interlinking of the telephone network and the Internet to form a multimodal network. In this paper we describe these applications and networks outline their architecture and present our experiences in constructing a prototype multiplanar application.,10.1.1.1.1492,Future applications network architecture,?
Free-Riding and Whitewashing in Peer-to-Peer Systems,Michal Feldman Christos Papadimitriou John Chuang  Ion Stoica,2004,We devise a simple model to study the phenomenon of free-riding and the effect of free identities on user behavior in peer-to-peer systems. At the heart of our model is a strategic user of a certain type an intrinsic and private parameter that reflects the users generosity. The user decides whether to contribute or free-ride based on how the current burden of contributing in the system compares to her type. We derive the emerging cooperation level in equilibrium and  quantify the effect of providing free-riders with degraded service on the emerging cooperation. We find that this penalty  mechanism is beneficial mostly when the generosity level of the society (i.e. the average type) is low. To quantify the social cost of free identities we extend the model to account for dynamic scenarios with turnover (users joining and leaving) and with whitewashers: users who strategically leave the system and re-join with a new identity. We find that the imposition of penalty on all legitimate newcomers incurs a significant social loss only under high turnover rates in conjunction with intermediate societal generosity levels.,10.1.1.1.1493,?,?
