CONFERENCE;TITLE;BOOKTITLE;SERIES;VOLUME;PUBLISHER;YEAR;ID
books/sp/BBH2015;Health Monitoring and Personalized Feedback using Multimedia Data;?;?;?;Springer;2015;978-3-319-17962-9
books/sp/BG2014;Context in Computing - A Cross-Disciplinary Approach for Modeling the Real World;?;?;?;Springer;2014;978-1-4939-1886-7
books/sp/BGPP2015;Multimedia Data Mining and Analytics - Disruptive Innovation;?;?;?;Springer;2015;978-3-319-14997-4
books/sp/NPG2015;Social Media for Government Services;?;?;?;Springer;2015;978-3-319-27235-1
books/sp/THAZL2015;Big-Data Analytics and Cloud Computing - Theory Algorithms and Applications;Big-Data Analytics and Cloud Computing;?;?;Springer;2015;978-3-319-25311-4
conf/3dgis/2006;Innovations in 3D Geo Information Systems First International Workshop on 3D Geoinformation 7-8 August 2006 Kuala Lumpur Malaysia;3D-GIS;Lecture Notes in Geoinformation and Cartography;?;Springer;2006;978-3-540-36997-4
conf/3dic/2009;IEEE International Conference on 3D System Integration 3DIC 2009 San Francisco California USA 28-30 September 2009;03-dic;?;?;IEEE;2009;978-1-4244-4511-0
conf/3dic/2010;IEEE International Conference on 3D System Integration 3DIC 2010 Munich Germany 16-18 November 2010;03-dic;?;?;IEEE;2010;978-1-4577-0526-7
conf/3dic/2011;2011 IEEE International 3D Systems Integration Conference (3DIC) Osaka Japan January 31 - February 2 2012;03-dic;?;?;IEEE;2012;978-1-4673-2189-1
conf/3dic/2013;2013 IEEE International 3D Systems Integration Conference (3DIC) San Francisco CA USA October 2-4 2013;03-dic;?;?;IEEE;2013;?
conf/3dic/2014;2014 International 3D Systems Integration Conference 3DIC 2014 Kinsdale Ireland December 1-3 2014;03-dic;?;?;IEEE;2014;978-1-4799-8472-5
conf/3dic/2015;2015 International 3D Systems Integration Conference 3DIC 2015 Sendai Japan August 31 - September 2 2015;03-dic;?;?;IEEE;2015;978-1-4673-9385-0
conf/3dica/1997;Three-Dimensional Image Capture San Jose CA USA February 8 1997;Three-Dimensional Image Capture;SPIE Proceedings;3023;SPIE;1997;978-0-8194-2434-1
conf/3dica/1998;Proceedings of the Conference on Three-Dimensional Image Capture and Applications San Jose CA USA January 27-28 1998;Three-Dimensional Image Capture and Applications;SPIE Proceedings;3313;SPIE;1998;0-8194-2753-5
conf/3dica/1999;Proceedings of the Conference on Three-Dimensional Image Capture and Applications II San Jose CA USA January 25-26 1999;Three-Dimensional Image Capture and Applications;SPIE Proceedings;3640;SPIE;1999;0-8194-3111-7
conf/3dica/2000;Proceedings of the Conference on Three-Dimensional Image Capture and Applications III San Jose CA USA January 24-25 2000;Three-Dimensional Image Capture and Applications;SPIE Proceedings;3958;SPIE;2000;0-8194-3576-7
conf/3dica/2001;Proceedings of the Conference on Three-Dimensional Image Capture and Applications IV San Jose CA USA January 20 2001;Three-Dimensional Image Capture and Applications;SPIE Proceedings;4298;SPIE;2001;?
conf/3dica/2002;Proceedings of the Conference on Three-Dimensional Image Capture and Applications V San Jose CA USA January 19 2002;Three-Dimensional Image Capture and Applications;SPIE Proceedings;4661;SPIE;2002;?
conf/3dica/2004;Proceedings of the Conference on Three-Dimensional Image Capture and Applications VI San Jose CA USA January 18 2004;Three-Dimensional Image Capture and Applications;SPIE Proceedings;5302;SPIE;2004;?
conf/3dica/2006;Proceedings of the Conference on Three-Dimensional Image Capture and Applications VII San Jose CA USA January 15 2006;Three-Dimensional Image Capture and Applications;SPIE Proceedings;6056;SPIE;2006;?
conf/3dica/2008;Proceedings of the Conference on Three-Dimensional Image Capture and Applications 2008 San Jose CA USA January 28-29 2008;Three-Dimensional Image Capture and Applications;SPIE Proceedings;6805;SPIE;2008;978-0-8194-6977-9
conf/3dica/2010;Three-Dimensional Image Processing (3DIP) and Applications San Jose California USA January 18-19 2010;Three-Dimensional Image Processing (3DIP) and Applications;SPIE Proceedings;7526;SPIE;2010;978-0-8194-7919-8
conf/3dica/2011;Three-Dimensional Imaging Interaction and Measurement San Francisco Airport California USA January 24-27 2011;Three-Dimensional Imaging Interaction and Measurement;SPIE Proceedings;7864;SPIE;2011;978-0-8194-8401-7
conf/3dica/2012;Three-Dimensional Image Processing (3DIP) and Applications II Burlingame California USA January 22 2012;Three-Dimensional Image Processing (3DIP) and Applications;SPIE Proceedings;8290;SPIE;2012;978-0-8194-9423-8
conf/3dica/2013;Three-Dimensional Image Processing (3DIP) and Applications 2013 Burlingame California USA February 6-7 2013;Three-Dimensional Image Processing (3DIP) and Applications;SPIE Proceedings;8650;SPIE;2013;978-0-8194-9423-8
conf/3dica/2014;Three-Dimensional Image Processing Measurement (3DIPM) and Applications 2014 San Francisco California USA February 5 2014;Three-Dimensional Image Processing Measurement (3DIPM) and Applications;SPIE Proceedings;9013;SPIE;2014;978-0-8194-9930-1
conf/3dica/2015;Three-Dimensional Image Processing Measurement (3DIPM) and Applications 2015 San Francisco California USA February 10-12 2015;Three-Dimensional Image Processing Measurement (3DIPM) and Applications;SPIE Proceedings;9393;SPIE;2015;978-1-6284-1483-7
conf/3dica/2016;3D Image Processing Measurement (3DIPM) and Applications 2016 San Francisco California USA February 14-18 2016;3D Image Processing Measurement (3DIPM) and Applications;?;?;Ingenta;2016;?
conf/3dim/1997;International Conference on Recent Advances in 3-D Digital Imaging and Modeling (3DIM '97) May 12-15 1997 Ottawa Ontario Canada;3DIM;?;?;IEEE Computer Society;1997;0-8186-7943-3
conf/3dim/1999;2nd International Conference on 3D Digital Imaging and Modeling (3DIM '99) 4-8 October 1999 Ottawa Canada;3DIM;?;?;IEEE Computer Society;1999;0-7695-0062-5
conf/3dim/2001;3rd International Conference on 3D Digital Imaging and Modeling (3DIM 2001) 28 May - 1 June 2001 Quebec City Canada;3DIM;?;?;IEEE Computer Society;2001;0-7695-0984-3
